Stash list for short evaluation tests (18 months runs to compare different configurations),,,,,,,,,,,
,,,,,,,,,,,
SINGLE LEVEL VARIABLES ,ISEC,ITEM,STASH,TYPE,FREQUENCY,TIME PROFILE,DOM PROFILE,USE,PACKAGE,STREAM,FILE
COSP: CALIPSO CF 40 LVLS (ICE),2,474,,Instant.,,T6HINST,DCOSP40H,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: CALIPSO CF 40 LVLS (UNDET),2,475,,Instant.,,T6HINST,DCOSP40H,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
COSP: MASK FOR CALIPSO CF ON 40 LVLS,2,325,,Instant.,,T6HINST,DCOSP40H,UPD,COSP,pp3,am3a.pd%Y%m%d.nc
,,,,,,,,,,,
BOUNDARY LAYER DEPTH AFTER TIMESTEP,0,25,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
OROGRAPHY (/STRAT LOWER BC),0,33,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
FRAC OF SEA ICE IN SEA AFTER TSTEP,0,31,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
SURFACE DOWNWARD LW RADIATION W/M2,0,238,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
TOA - SURF UPWARD LW RADIATION W/M2,0,239,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
OPEN SEA SURFACE TEMP AFTER TIMESTEP,0,507,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
NET DOWNWARD SW FLUX AT THE TROP.,1,237,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
UPWARD SW FLUX AT THE TROPOPAUSE,1,238,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
NET DOWNWARD LW FLUX AT THE TROP.,2,237,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
DOWNWARD LW FLUX AT THE TROPOPAUSE,2,238,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
QT AT 1.5M,3,255,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
HEIGHT OF SURFACE MIXED LAYR TOP (M),3,356,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
ENTRAINMENT RATE FOR SURFACE ML,3,362,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
ENTRAINMENT RATE FOR BOUNDARY LAYER,3,363,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
TOTAL RAINFALL RATE: LS+CONV KG/M2/S,5,214,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
TOTAL SNOWFALL RATE: LS+CONV KG/M2/S,5,215,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
FREEZING LEVEL GEOPOTENTIAL HEIGHT,20,33,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
FREEZING LEVEL PRESSURE,20,34,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
TROPOPAUSE PRESSURE,20,84,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
TROPOPAUSE TEMPERATURE,20,85,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
TROPOPAUSE HEIGHT,20,86,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
SBCAPE surface based CAPE J/kg,20,114,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
SBCIN surface based CIN J/kg,20,115,,Instant.,3 hourly,T3HINST,DIAG,UPJ,2D Extra,pp9,
TOTAL COLUMN DRY MASS RHO GRID,30,403,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
TOTAL COLUMN WET MASS RHO GRID,30,404,,mean,3 hourly,T3HMN,DIAG,UPJ,2D Extra,pp9,
,,,,,,,,,,,
RAIN AFTER TIMESTEP,0,272,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
UPWARD SW FLUX ON LEVELS,1,217,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
DOWNWARD SW FLUX ON LEVELS,1,218,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
CLEAR-SKY UPWARD SW FLUX ON LEVELS,1,219,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
CLEAR-SKY DOWNWARD SW FLUX ON LEVELS,1,220,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
UPWARD LW FLUX ON LEVELS,2,217,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
DOWNWARD LW FLUX ON LEVELS,2,218,,mean,month,TMONMN,DALLTH,UPK,3D Extra,pp10,
